fighter_id,bout_id,weight_lbs
4,1437,129.0
781,966,191.0
120,60,146.5
131,65,160.6
246,122,138.0
275,133,149.0
4,142,130.0
46,136,175.0
315,157,158.0
301,150,191.5
121,186,157.5
481,287,147.0
499,306,140.0
123,322,159.5
528,342,159.0
119,346,149.5
540,363,148.5
142,469,187.5
231,541,160.0
120,596,150.5
217,1722,117.5
433,1807,159.0
1054,1810,158.0
171,1883,148.5
458,1826,161.5
4,1869,136.5
597,1900,273.0
120,1984,155.0
578,1950,173.0
797,2057,116.4
323,1930,157.5
99,2023,148.0
98,1983,173.5
305,2022,129.5
167,2138,209.5
208,2153,117.5
1118,2166,139.5
167,2223,210.0
504,2299,176.0
1175,2348,118.0
1149,2370,149.0
98,2242,188.0
206,2333,118.0
17,2599,189.0
1165,2674,120.0
1176,2645,160.0
357,2644,129.0
1337,2584,128.0
1180,2709,148.0
977,2625,148.5
1275,2759,160.0
302,2828,161.0
417,2737,187.7
1267,2866,126.5
303,2914,158.0
1373,2945,123.0
1408,3018,127.0
504,2972,174.5
1251,3068,190.0
385,3024,157.5
157,3336,142.0
1101,3409,127.2
1478,3552,137.0
1753,3637,123.0
1492,3701,148.5
554,3697,141.0
1960,4092,162.5
1346,4046,129.0
546,4195,138.0
2075,4236,140.0
1552,4255,137.0
1404,4348,148.0
1719,4216,188.5
946,4228,127.2
1495,4322,147.5
1124,4318,120.5
54,4331,131.0
305,4547,128.0
1284,4706,149.5
1169,4577,127.5
303,4639,158.5
2017,4840,157.5
2297,4850,128.5
1237,4851,190.5
54,4860,126.25
1176,4868,158.0
2075,4939,131.0
1757,4892,129.0
1650,4907,149.0
373,4982,160.0
1662,4978,140.5
1688,5051,174.5
2060,5082,146.5
2007,5066,159.5
978,5185,149.0
2433,5189,151.0
2466,5128,150.0
702,5011,150.0
1774,5311,159.5
458,5277,173.0
2306,5316,175.5
1073,5210,187.5
1039,5341,175.5
2,5370,207.5
1792,5553,156.0
2703,5755,126.0
2437,5689,139.5
1149,5582,149.0
1059,5581,137.0
1506,5696,210.5
1442,5587,127.0
2000,5854,136.5
1980,5813,205.5
2173,5724,155.75
1984,5730,125.5
1823,5796,127.5
384,6012,159.5
1754,5809,126.0
2926,5811,127.5
1293,6087,147.5
930,6121,138.5
2024,6168,172.5
1444,6367,128.0
3092,6246,137.5
2438,6231,139.0
2736,6234,157.0
554,6342,137.5
2406,6534,157.5
2379,6677,173.0
3147,6620,126.4
2583,6622,147.4
2033,6746,127.5
1774,6812,156.5
3461,7053,140.0
1352,6628,128.0
1729,6798,147.5
1101,6969,136.5
2089,6751,266.0
1293,7125,148.0
2016,7012,217.0
57,7292,147.0
2736,7196,159.0
1265,7230,135.5
1701,7282,117.5
761,7481,137.5
2240,7445,145.5
120,7439,155.5
2377,7819,136.5
2385,7793,171.5
2658,7790,136.5
2895,8226,266.5
919,8225,148.5
2319,8440,177.5
3147,8395,128.0
1015,8223,126.5
3316,8665,148.5
3530,8685,136.0
1255,8688,127.5
1292,8683,137.5
1284,8850,156.5
1527,8322,146.6
1236,8318,205.6
3154,9157,156.2
2024,8777,172.5
3392,8772,157.5
2814,9281,126.6
5051,9377,145.2
3664,9515,145.8
2787,9510,127.8
2122,9554,160.6
702,9195,156.5
3228,9038,126.0
4153,9636,126.6
5209,9632,146.3
4713,9680,142.0
5256,9686,156.5
2438,9447,136.0
1392,9327,174.0
2788,9694,144.2
2379,9556,176.0
2318,9339,128.5
2268,9849,156.0
3326,9489,136.0
1765,10013,157.1
2658,9549,135.5
2119,10072,151.4
3205,10072,145.4
948,10065,126.2
5554,10207,157.9
2449,9906,136.5
3367,9957,139.0
2603,9905,188.0
3103,10089,172.0
2385,10189,171.5
2372,10188,116.5
5678,10434,146.5
715,10625,145.9
1851,10285,156.25
5807,10671,145.5
5840,10699,126.0
1546,10296,157.0
2633,10762,149.4
3113,10380,127.5
1686,10857,145.4
2422,10874,145.5
2787,10905,126.2
2509,10731,188.0
2443,10729,188.5
2178,10947,146.0
1217,10990,146.8
1339,10974,148.75
3872,11236,146.8
3326,11302,139.0
6314,11529,147.2
4236,11019,115.6
2406,11195,158.5
5964,11459,118.5
1511,11269,146.0
1581,11672,157.0
4418,11546,127.0
4539,11640,157.0
1529,11708,185.8
4081,11819,138.0
2318,11772,126.5
6088,11771,138.75
1823,12042,127.0
5683,12276,148.5
3262,12103,186.5
4151,12109,130.0
3050,12109,126.0
3147,12062,126.0
4943,12238,147.5
2307,12243,146.0
2553,12237,155.5
5243,12614,146.0
1265,12538,146.0
1852,12634,266.0
6433,12754,129.3
4062,12576,137.0
4344,12576,137.5
1410,12562,146.5
6979,12853,207.9
6128,12712,155.5
3349,12705,147.5
5498,12908,173.0
5840,12953,129.0
6331,13201,129.3
5964,13074,115.5
6090,13219,146.5
2624,13417,136.0
395,13584,126.0
2307,13569,150.0
5873,13580,170.25
3675,13573,148.0
3722,13761,173.0
7074,13754,136.0
7397,13729,209.0
3811,13662,188.0
1735,13724,148.0
6909,13970,136.6
7585,14024,138.0
3975,13855,135.5
2199,14158,137.5
2379,14112,171.5
2658,14223,138.0
6220,14211,144.5
5213,14345,170.8
4062,14317,136.0
4506,14313,173.0
6128,14388,156.2
3103,14522,174.0
